symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
BEL,Industrials,2024-02-02,2024-07-02,151,1777,185.185,308.691,219470.16,144.61,568.96,STCG,43751.32,175005.27,53.1812,181.22,189.53,90.58,318.65,LVM_ROTATION,10.0
CUMMINSIND,Industrials,2024-02-02,2024-07-02,151,145,2257.255,3998.997,252552.59,291.82,601.44,STCG,50331.87,201327.46,61.5112,176.72,185.86,87.17,4104.1499,LVM_ROTATION,10.0
VBL,Consumer Defensive,2024-04-02,2024-07-02,91,629,569.3688,638.5608,43521.77,124.16,416.61,STCG,8596.2,34384.8,9.6011,180.37,180.37,79.84,655.78,LVM_ROTATION,10.0
OBEROIRLTY,Real Estate,2024-06-04,2024-07-02,28,212,1887.886,1776.222,-23672.77,248.91,390.58,STCG,0.0,-24312.25,-6.0745,178.27,178.27,46.47,1934.9,LVM_ROTATION,10.0
HEROMOTOCO,Consumer Cyclical,2023-12-02,2024-08-02,244,73,3883.88,5319.675,104813.04,311.16,402.79,STCG,20819.82,83279.27,29.373,167.99,179.84,72.66,5816.0,LVM_ROTATION,10.0
ESCORTS,Industrials,2024-07-02,2024-08-02,31,96,4145.8419,4103.892,-4027.19,264.52,408.64,STCG,0.0,-4700.35,-1.181,167.93,167.93,65.1,4173.3999,LVM_ROTATION,10.0
UNITDSPR,Consumer Defensive,2024-07-02,2024-08-02,31,313,1275.274,1398.6,38601.04,378.36,454.06,STCG,7553.72,30214.89,7.5696,156.28,156.28,53.52,1443.8,LVM_ROTATION,10.0
SUNPHARMA,Healthcare,2024-07-02,2024-08-02,31,263,1515.514,1698.3,48072.72,420.39,463.28,STCG,9437.81,37751.24,9.4714,154.32,154.32,55.99,1723.25,LVM_ROTATION,10.0
HAVELLS,Industrials,2024-07-02,2024-08-02,31,218,1831.83,1820.178,-2540.14,211.14,411.57,STCG,0.0,-3162.84,-0.792,151.44,151.44,53.65,1929.45,LVM_ROTATION,10.0
ZYDUSLIFE,Healthcare,2024-07-02,2024-09-03,63,371,1076.075,1114.4844,14249.89,311.46,428.87,STCG,2701.91,10807.65,2.7072,179.58,184.9,76.82,1300.9,LVM_ROTATION,10.0
INFY,Technology,2024-08-02,2024-09-03,32,231,1844.843,1965.033,27763.89,434.24,470.82,STCG,5371.77,21487.07,5.042,154.95,154.95,56.51,1964.5,LVM_ROTATION,10.0
LT,Industrials,2024-08-02,2024-09-03,32,114,3734.0804,3690.256,-4995.98,431.01,436.35,STCG,0.0,-5863.34,-1.3774,153.65,153.65,49.74,3734.0804,LVM_ROTATION,10.0
TMPV,Consumer Cyclical,2024-08-02,2024-09-12,41,380,1121.12,975.3237,-55402.59,505.79,384.42,STCG,0.0,-56292.8,-13.2135,180.73,180.99,180.99,1121.65,LVM_STOP: -12.9% <= -10%,10.0
HCLTECH,Technology,2024-08-02,2024-10-02,61,263,1621.6701,1776.222,40647.15,279.97,484.54,STCG,7976.53,31906.11,7.4809,157.29,160.94,58.07,1816.5,LVM_ROTATION,10.0
BAJAJ-AUTO,Consumer Cyclical,2023-10-04,2024-11-02,395,49,5016.2612,9886.6035,238646.77,224.74,502.48,LTCG,13791.96,224127.6,91.1841,167.29,192.71,86.2,12666.4004,LVM_ROTATION,10.0
COLPAL,Consumer Defensive,2024-07-02,2024-11-02,123,138,2890.888,3039.957,20571.52,312.85,435.13,STCG,3964.71,15858.83,3.9752,179.06,188.02,76.82,3838.1001,LVM_ROTATION,10.0
LUPIN,Healthcare,2024-07-02,2024-11-02,123,246,1625.5239,2210.5872,143925.57,474.75,564.05,STCG,28577.36,114309.42,28.586,172.51,178.12,78.91,2290.2,LVM_ROTATION,10.0
TORNTPHARM,Healthcare,2024-09-03,2024-11-02,60,129,3438.9856,3209.2375,-29637.5,281.21,429.4,STCG,0.0,-30348.12,-6.8409,169.4,172.53,71.22,3557.25,LVM_ROTATION,10.0
BAJAJHLDNG,Financial Services,2024-09-03,2024-11-02,60,41,10610.6,10322.2173,-11823.69,516.48,438.97,STCG,0.0,-12779.14,-2.9375,167.71,167.71,71.35,11163.4004,LVM_ROTATION,10.0
UNITDSPR,Consumer Defensive,2024-09-03,2024-11-02,60,298,1491.49,1453.545,-11307.61,407.04,449.28,STCG,0.0,-12163.93,-2.7368,158.72,165.49,60.55,1644.6,LVM_ROTATION,10.0
BOSCHLTD,Consumer Cyclical,2024-10-02,2024-11-02,31,11,37425.388,35214.6993,-24317.58,282.83,401.78,STCG,0.0,-25002.18,-6.0732,186.98,186.98,84.38,38795.6016,LVM_ROTATION,10.0
ULTRACEMCO,Basic Materials,2024-10-02,2024-11-02,31,38,11638.7267,11135.853,-19109.2,346.01,438.92,STCG,0.0,-19894.13,-4.4982,150.52,150.52,46.35,11724.7998,LVM_ROTATION,10.0
HINDZINC,Basic Materials,2024-11-02,2024-11-13,11,741,559.559,496.503,-46724.5,409.59,381.6,STCG,0.0,-47515.69,-11.4597,160.68,160.68,160.68,559.65,LVM_STOP: -10.5% <= -10%,10.0
OBEROIRLTY,Real Estate,2024-11-02,2024-12-03,31,210,1974.4224,2089.7582,24220.52,303.95,455.19,STCG,4692.28,18769.1,4.5267,155.99,155.99,51.03,2069.6499,LVM_ROTATION,10.0
MAXHEALTH,Healthcare,2024-11-02,2024-12-03,31,403,1029.028,1026.8721,-868.83,492.34,429.23,STCG,0.0,-1790.4,-0.4317,155.21,155.21,56.7,1079.9,LVM_ROTATION,10.0
DIVISLAB,Healthcare,2024-11-02,2024-12-03,31,70,5910.1542,6273.72,25449.61,175.89,455.51,STCG,4963.64,19854.56,4.7991,148.18,148.18,53.61,6255.3501,LVM_ROTATION,10.0
BHARTIHEXA,Communication Services,2024-11-02,2024-12-03,31,291,1423.5221,1398.6,-7252.33,491.8,422.14,STCG,0.0,-8166.28,-1.9714,145.7,145.7,50.64,1466.75,LVM_ROTATION,10.0
COCHINSHIP,Industrials,2024-12-03,2024-12-21,18,254,1716.2646,1518.48,-50237.29,517.55,400.05,STCG,0.0,-51154.89,-11.7346,195.36,195.36,195.36,1716.2646,LVM_STOP: -13.0% <= -10%,10.0
BEL,Industrials,2024-11-02,2025-01-02,61,1433,289.289,294.1556,6973.84,137.6,437.22,STCG,1279.8,5119.21,1.2349,191.93,193.56,90.51,316.2,LVM_ROTATION,10.0
NATIONALUM,Basic Materials,2024-11-02,2025-01-02,61,1810,229.1389,214.6851,-26161.38,391.32,403.05,STCG,0.0,-26955.74,-6.4994,174.74,175.0,71.54,256.85,LVM_ROTATION,10.0
MAZDOCK,Industrials,2024-12-03,2025-01-02,30,190,2294.7925,2257.74,-7039.98,142.96,444.94,STCG,0.0,-7627.87,-1.7495,197.16,197.16,97.44,2655.625,LVM_ROTATION,10.0
PETRONET,Energy,2024-12-03,2025-01-02,30,1288,339.0887,344.3053,6718.98,383.23,459.97,STCG,1175.16,4700.62,1.0763,164.69,164.69,65.9,347.6,LVM_ROTATION,10.0
KALYANKJIL,Consumer Cyclical,2024-12-03,2025-01-11,39,601,725.725,599.4,-75921.33,342.63,373.65,STCG,0.0,-76637.61,-17.571,177.58,179.23,179.23,787.9,LVM_STOP: -13.6% <= -10%,10.0
CGPOWER,Industrials,2025-01-02,2025-01-11,9,591,742.692,634.365,-64021.26,208.46,388.87,STCG,0.0,-64618.58,-14.7218,189.74,189.74,189.74,748.0,LVM_STOP: -12.5% <= -10%,10.0
