symbol,fiscal_year,is_standard_period,roe,debt_to_equity,book_value_cr,bv_per_share,eps,net_profit_cr,equity_cr,borrowings_cr,revenue_cr,interest_expense_cr,revenue_growth_pct,earnings_growth_pct
ADANIENT,Mar 2015,True,8.93,324.83,25728.0,233890.91,20890.91,2298.0,25728.0,83571.0,64465.0,7056.0,,
ADANIENT,Mar 2016,True,7.47,143.29,13378.0,121618.18,9090.91,1000.0,13378.0,19169.0,34008.0,1357.0,-47.25,-56.48
ADANIENT,Mar 2017,True,6.54,147.47,14136.0,128509.09,8409.09,925.0,14136.0,20846.0,36533.0,1257.0,7.42,-7.5
ADANIENT,Mar 2018,True,3.94,116.89,15089.0,137172.73,5400.0,594.0,15089.0,17637.0,35924.0,1250.0,-1.67,-35.78
ADANIENT,Mar 2019,True,3.43,76.19,14756.0,134145.45,4600.0,506.0,14756.0,11243.0,40379.0,1625.0,12.4,-14.81
ADANIENT,Mar 2020,True,6.14,73.28,16947.0,154063.64,9454.55,1040.0,16947.0,12419.0,43403.0,1572.0,7.49,105.53
ADANIENT,Mar 2021,True,6.1,94.57,17159.0,155990.91,9509.09,1046.0,17159.0,16227.0,39537.0,1377.0,-8.91,0.58
ADANIENT,Mar 2022,True,3.54,186.93,22257.0,202336.36,7163.64,788.0,22257.0,41604.0,69420.0,2526.0,75.58,-24.67
ADANIENT,Mar 2023,True,7.33,160.96,33051.0,289921.05,21245.61,2422.0,33051.0,53200.0,127540.0,3969.0,83.72,207.36
ADANIENT,Mar 2024,True,8.53,167.14,39076.0,342771.93,29254.39,3335.0,39076.0,65310.0,96421.0,4555.0,-24.4,37.7
ADANIENT,Mar 2025,True,15.91,181.8,50314.0,437513.04,69608.7,8005.0,50314.0,91473.0,97895.0,5978.0,1.53,140.03
ADANIENT,Mar 2026,True,12.3,131.75,80926.0,627333.33,77139.53,9951.0,80926.0,106622.0,100469.0,6019.0,2.63,24.31
ADANIGREEN,Mar 2016,True,,2736.42,151.0,943.75,,,151.0,4132.0,,,,
ADANIGREEN,"Mar 2016
            
            
              15m",False,,,,,,-9.0,,0.0,28.0,23.0,,
ADANIGREEN,Mar 2017,True,-3.91,361.35,1203.0,944.27,-36.89,-47.0,1203.0,4347.0,502.0,334.0,,
ADANIGREEN,Mar 2018,True,-10.29,735.57,1341.0,857.42,-88.24,-138.0,1341.0,9864.0,1480.0,552.0,194.82,
ADANIGREEN,Mar 2019,True,-24.57,576.41,1933.0,1235.93,-303.71,-475.0,1933.0,11142.0,2058.0,1121.0,39.05,
ADANIGREEN,Mar 2020,True,-2.89,631.03,2356.0,1506.39,-43.48,-68.0,2356.0,14867.0,2549.0,995.0,23.86,
ADANIGREEN,Mar 2021,True,8.27,1100.41,2200.0,1406.65,116.37,182.0,2200.0,24209.0,3124.0,1953.0,22.56,
ADANIGREEN,Mar 2022,True,18.71,2021.12,2614.0,1671.36,312.66,489.0,2614.0,52832.0,5133.0,2617.0,64.31,168.68
ADANIGREEN,Mar 2023,True,13.32,742.37,7304.0,4611.11,614.27,973.0,7304.0,54223.0,7776.0,2911.0,51.49,98.98
ADANIGREEN,Mar 2024,True,11.84,609.45,10642.0,6718.43,795.45,1260.0,10642.0,64858.0,9220.0,5088.0,18.57,29.5
ADANIGREEN,Mar 2025,True,16.49,659.47,12137.0,7662.25,1263.26,2001.0,12137.0,80040.0,11212.0,5492.0,21.61,58.81
