symbol,companyName,FundamentalScore,TechnicalScore,SentimentScore,OverallScore,Recommendation,FundamentalRating,SentimentLabel,NewsCount,Close,Daily_Change,Weekly_Change,52W_High,52W_Low,All_Time_High,All_Time_Low,sma20,sma50,sma100,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,stoch_k,stoch_d,volatility,support_levels,resistance_levels,volume_sma20,current_volume,volume_trend,trend
NESTLEIND,NESTLEIND,0.0,85.44,59.0,48.15,HOLD,Strong Sell,Positive,3,1156.199951171875,-0.5333855051588454,-0.5761521284311066,,,1368.6044114434262,1046.1656514698666,1137.8775024414062,1168.9896411132813,1175.3694189453124,1136.0007885742189,1153.3737903991598,1152.5771924361577,65.75194571453234,0.7965979630021138,-4.636720322423473,5.433318285425587,69.90436893130794,70.17160844586779,0.10631408945772429,[],[],1320075.0,1593255.0,Increasing,Sideways
ULTRACEMCO,ULTRACEMCO,0.0,85.24,59.0,48.08,HOLD,Strong Sell,Positive,3,12640.0,0.9504033224183361,0.40511557709110857,,,12930.0,9984.560419697713,12492.2,12313.98119140625,11907.08994140625,11520.752299804688,12588.28925831236,12477.18054838299,66.15384615384615,111.10870992936907,123.14160380222026,-12.03289387285119,57.03019764348253,57.82104374053903,0.07578760810933453,[],[],253190.65,177858.0,Decreasing,Strong Uptrend
TITAN,TITAN,0.0,84.89,59.0,47.96,HOLD,Strong Sell,Positive,3,3628.800048828125,-0.2446574061415574,0.21541145617578472,,,3855.397419134134,2916.223769645376,3517.8049926757812,3509.343955078125,3471.6632470703125,3370.0791589355467,3582.244366320439,3534.790228920561,74.70695228950008,47.454137399878164,34.32653568172476,13.1276017181534,81.33361573972813,79.83669631054788,0.11130218097948,[],[],723783.45,660956.0,Decreasing,Strong Uptrend
MARUTI,MARUTI,0.0,84.37,59.0,47.79,HOLD,Strong Sell,Positive,3,14791.0,0.2643709327548871,3.0803540316398426,,,14895.0,10610.16228851044,13537.4,12869.16029296875,12505.740625,12049.574799804688,14207.050837691026,13594.682740160582,98.45882870981946,612.3680975304433,484.4252338891672,127.94286364127606,95.04368610851856,95.4933937808894,0.2631620936641108,[],[],485159.0,621560.0,Increasing,Strong Uptrend
HDFCLIFE,HDFCLIFE,0.0,82.77,59.0,47.26,HOLD,Strong Sell,Positive,3,772.0499877929688,-0.42561267774270384,-2.1172757156299515,,,820.75,582.6893982272248,771.959994506836,772.9119970703125,755.5103979492187,696.3500741577149,778.3160717146009,773.9746868277704,58.82352941176471,4.341384886830497,5.13562212399154,-0.7942372371610436,36.24686706035453,44.72322047792616,0.09775543888006032,[],[],2108341.45,1865283.0,Increasing,Sideways
SBILIFE,SBILIFE,0.0,82.29,59.0,47.1,HOLD,Strong Sell,Positive,3,1805.5,-0.6219753701247277,-3.8246442742568054,,,1932.3222190371707,1369.9426261325289,1842.0950012207031,1831.5840014648438,1775.1755017089845,1619.2811468505859,1836.1763890179368,1835.736269867367,35.14960434809542,0.4401191505698989,6.475250175806587,-6.035131025236688,6.880034199970205,18.193795405306755,0.04589322684733239,[],[],831760.5,801378.0,Decreasing,Uptrend
JSWSTEEL,JSWSTEEL,0.0,82.16,59.0,47.05,HOLD,Strong Sell,Positive,3,1026.5999755859375,-0.888209384870775,-2.6550351458564325,,,1089.199951171875,877.6366579738332,1054.020001220703,1040.6184375,1018.3924603271485,990.9457052612305,1049.2340678981177,1048.0667769549198,41.56718097089537,1.1672909431979406,5.928306839184444,-4.761015895986503,8.7218186506123,14.709379939575683,0.058674151044792386,[],[],1585092.2,1062037.0,Decreasing,Uptrend
CIPLA,CIPLA,0.0,81.98,59.0,46.99,HOLD,Strong Sell,Positive,3,1589.4000244140625,0.5758384676812334,-0.21346209880920286,,,1687.4334663463221,1323.5354497595179,1545.4450134277345,1519.47556640625,1501.170457763672,1479.780903930664,1570.7150211007588,1549.1092085456737,78.06070593245389,21.605812555085095,18.777262356542106,2.828550198542988,81.61979320950361,82.34341972500658,0.10182942048188824,[],[],1387410.15,1342344.0,Decreasing,Strong Uptrend
HEROMOTOCO,HEROMOTOCO,0.0,80.88,59.0,46.63,HOLD,Strong Sell,Positive,3,5087.7001953125,-0.07855922082141698,1.7967605338922166,,,6002.599362284566,3294.1890091098116,4826.855029296875,4487.28126953125,4254.827260742188,4133.89990234375,4979.106360823154,4784.326607143235,75.18845589184306,194.77975367991894,183.96351682247945,10.816236857439492,81.15055806771596,84.2963951404533,0.21153693044516486,[],[],1116020.75,783364.0,Decreasing,Strong Uptrend
VEDL,VEDL,0.0,79.6,59.0,46.2,HOLD,Strong Sell,Positive,3,420.6499938964844,-0.9069507899919005,-1.8239465410820888,,,491.3309709663929,344.6540750615777,423.21038208007815,429.0201007080078,418.0135696411133,420.9244660949707,425.7513047794029,425.6901817116372,53.479195514259814,0.06112306776572041,-0.1928353093594536,0.253958377125174,51.38479368453292,62.35456585845302,0.06531883812667197,[],[],7297707.15,7712901.0,Increasing,Strong Downtrend
GRASIM,GRASIM,0.0,79.02,59.0,46.01,HOLD,Strong Sell,Positive,3,2775.60009765625,-0.3124645698848738,-3.6651345031667892,,,2898.39990234375,2268.696845700511,2779.330432128906,2770.788876953125,2717.6793359375,2602.5779321289065,2795.594852767872,2779.281775988066,55.11468860431014,16.313076779806124,17.86918349209494,-1.5561067122888161,52.000244608234404,56.770481618285054,0.0734552856625034,[],[],689100.5,542362.0,Decreasing,Uptrend
TATAMOTORS,TATAMOTORS,0.0,75.2,59.0,44.73,HOLD,Strong Sell,Positive,3,669.0,-0.9549207329134335,-1.6610301331370314,,,1132.2650028725948,531.1830002693022,667.6199951171875,677.1609997558594,677.6644665527343,699.5032431030273,676.2334184878918,675.1571505487781,65.92959913449053,1.0762679391136771,0.03524390651286885,1.0410240326008082,63.30059447575136,68.64121734118852,0.10493388314245806,[],[],9496432.15,8201917.0,Decreasing,Downtrend
COALINDIA,COALINDIA,0.0,66.67,59.0,41.89,HOLD,Strong Sell,Positive,3,374.79998779296875,0.13358269204020168,0.09346390026128137,,,496.25795076051816,339.58072583613375,375.1576217651367,375.58840515136717,379.5865786743164,377.03587493896487,375.6409661119379,375.6081051107486,50.262574048683454,0.03286100118930335,0.376718487059699,-0.34385748587039566,35.463991224645746,36.927299045622725,0.058194628085604674,[],[],5845648.15,4578400.0,Decreasing,Strong Downtrend
LT,LT,0.0,64.26,59.0,41.09,HOLD,Strong Sell,Positive,3,3601.0,1.1488413590021285,0.14461179991278605,,,3926.8766708182884,2937.900120111403,3618.4700439453127,3583.9340185546876,3517.3379956054687,3489.5301623535156,3591.77016027477,3592.7568807509824,49.06619984718755,-0.9867204762122128,8.332740681838743,-9.319461158050956,18.520433509980958,11.875956374437576,0.04875188705761935,[],[],1371538.1,1678055.0,Decreasing,Uptrend
BAJFINANCE,BAJFINANCE,0.0,63.86,59.0,40.95,HOLD,Strong Sell,Positive,3,877.8499755859375,0.11404459461059613,-1.8613777992244285,,,978.7999877929688,642.0160368509909,881.567495727539,908.1979992675781,908.0682965087891,836.3561901855469,883.6527871463977,890.5484674707143,50.25658052529649,-6.895680324316572,-7.838737470769475,0.9430571464529027,39.60836148235179,42.87171822760532,0.06410071973419731,[],[],6204258.95,5672446.0,Decreasing,Sideways
