symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,max_gain_pct,exit_reason,price,dist_20d,rsi,vol_ratio_10_50,range5_pct,ret_20d,bb_width,month
ASTRAZEN,2026-05-19,8695.5,2026-05-26,8962.5,3.07,5.23,hold_expiry,8695.5,0.46,59.9,0.6,6.13,3.03,7.32,2026-05
ATUL,2026-02-26,6528.5,2026-03-06,6415.0,-1.74,4.39,hold_expiry,6528.5,5.43,54.9,0.97,3.52,5.09,11.52,2026-02
ATUL,2026-04-10,6450.0,2026-04-20,6536.0,1.33,2.96,hold_expiry,6450.0,1.35,54.0,0.93,6.45,3.98,7.24,2026-04
ATUL,2026-04-23,6727.0,2026-04-30,6817.5,1.35,4.5,hold_expiry,6727.0,2.35,61.3,0.98,5.81,10.23,11.78,2026-04
ATUL,2026-05-11,6892.0,2026-05-18,6882.5,-0.14,3.6,hold_expiry,6892.0,4.01,64.8,0.83,4.51,9.25,12.21,2026-05
ATUL,2026-05-21,7057.0,2026-05-28,7002.5,-0.77,0.76,hold_expiry,7057.0,1.71,57.8,0.9,5.78,5.64,7.33,2026-05
AUROPHARMA,2026-03-09,1247.3,2026-03-16,1279.6,2.59,5.81,hold_expiry,1247.300048828125,0.36,65.0,0.95,6.1,3.62,11.64,2026-03
AUROPHARMA,2026-03-23,1278.7,2026-04-01,1342.1,4.96,6.35,hold_expiry,1278.699951171875,3.11,62.9,0.95,4.76,11.13,14.91,2026-03
AUROPHARMA,2026-04-07,1330.0,2026-04-15,1373.9,3.3,3.7,hold_expiry,1330.0,2.2,57.4,0.99,7.41,7.96,9.52,2026-04
AUROPHARMA,2026-04-20,1367.8,2026-04-27,1416.7,3.58,6.7,hold_expiry,1367.800048828125,1.94,67.3,0.84,4.64,7.79,11.71,2026-04
AUROPHARMA,2026-04-30,1389.5,2026-05-07,1478.7,6.42,7.84,hold_expiry,1389.5,4.8,61.4,0.76,4.89,3.53,10.16,2026-04
AUROPHARMA,2026-05-12,1488.2,2026-05-19,1512.8,1.65,2.81,hold_expiry,1488.199951171875,1.67,65.6,0.77,6.12,8.32,11.87,2026-05
AUROPHARMA,2026-05-22,1463.5,2026-06-01,1433.7,-2.04,0.65,hold_expiry,1463.5,5.58,65.2,0.89,7.21,3.3,13.98,2026-05
AIIL,2026-05-20,507.85,2026-05-27,482.46,-5.0,5.19,stop_loss,507.8500061035156,2.79,62.8,0.55,6.72,1.22,12.38,2026-05
DMART,2026-02-19,3834.1,2026-02-26,3865.6,0.82,2.91,hold_expiry,3834.10009765625,4.91,60.7,0.57,3.36,2.95,12.41,2026-02
DMART,2026-03-06,3875.8,2026-03-13,3834.3,-1.07,4.65,hold_expiry,3875.800048828125,3.88,46.5,0.89,5.51,-0.36,6.23,2026-03
DMART,2026-04-29,4593.4,2026-05-04,4363.73,-5.0,0.47,stop_loss,4593.39990234375,1.09,65.5,0.76,5.07,16.09,13.61,2026-04
DMART,2026-05-08,4402.1,2026-05-15,4358.7,-0.99,0.67,hold_expiry,4402.10009765625,5.21,35.3,0.68,6.55,0.03,8.01,2026-05
AXISBANK,2026-02-18,1377.0,2026-02-25,1403.0,1.89,1.98,hold_expiry,1377.0,2.91,52.8,0.79,4.74,7.17,9.04,2026-02
AXISBANK,2026-03-02,1372.3,2026-03-09,1303.69,-5.0,0.0,stop_loss,1372.300048828125,3.24,54.6,0.89,3.85,1.19,6.39,2026-03
AXISBANK,2026-05-25,1311.2,2026-06-01,1275.9,-2.69,0.44,hold_expiry,1311.199951171875,0.77,65.0,0.77,7.17,1.72,6.51,2026-05
BASF,2026-05-04,3649.4,2026-05-11,3872.9,6.12,12.07,hold_expiry,3649.39990234375,3.68,56.9,0.55,5.03,10.88,13.04,2026-05
BLS,2026-05-07,291.9,2026-05-12,277.3,-5.0,1.13,stop_loss,291.8999938964844,5.53,44.7,0.17,7.36,1.74,9.98,2026-05
BSE,2026-03-16,2862.6,2026-03-23,2719.47,-5.0,5.11,stop_loss,2862.60009765625,1.2,60.4,0.93,4.33,2.07,9.33,2026-03
BAJAJ-AUTO,2026-02-19,9593.98,2026-02-26,9969.69,3.92,4.71,hold_expiry,9593.9814453125,3.29,54.6,0.8,4.43,3.83,6.95,2026-02
BAJAJ-AUTO,2026-03-04,9518.54,2026-03-11,9198.05,-3.37,2.4,hold_expiry,9518.54296875,5.25,43.6,0.92,7.05,0.14,6.48,2026-03
BAJAJ-AUTO,2026-05-01,9855.3,2026-05-08,10562.85,7.18,7.91,hold_expiry,9855.3037109375,0.51,57.5,0.98,7.38,14.11,14.05,2026-05
BAJAJ-AUTO,2026-05-21,10518.96,2026-05-28,10658.5,1.33,1.57,hold_expiry,10518.9638671875,1.09,65.0,0.84,6.51,11.39,14.9,2026-05
BAJFINANCE,2026-02-27,995.9,2026-03-04,946.11,-5.0,0.0,stop_loss,995.9000244140625,4.79,54.1,0.81,5.33,10.2,13.14,2026-02
BAJFINANCE,2026-05-01,937.0,2026-05-08,955.35,1.96,5.9,hold_expiry,937.0,3.9,55.2,0.84,7.34,13.32,13.44,2026-05
BAJFINANCE,2026-05-19,923.55,2026-05-26,930.2,0.72,2.69,hold_expiry,923.5499877929688,6.92,48.1,0.71,4.61,-1.2,9.48,2026-05
BAJAJFINSV,2026-02-19,2033.2,2026-02-26,2041.3,0.4,2.05,hold_expiry,2033.199951171875,1.68,65.4,0.63,2.75,2.01,8.86,2026-02
BAJAJFINSV,2026-05-06,1836.1,2026-05-12,1744.29,-5.0,0.74,stop_loss,1836.0999755859375,1.28,51.3,0.84,6.99,2.89,7.4,2026-05
BAJAJFINSV,2026-05-20,1772.0,2026-05-27,1809.1,2.09,2.45,hold_expiry,1772.0,4.2,54.6,0.78,5.09,-1.15,6.98,2026-05
BAJAJHLDNG,2026-02-19,11188.0,2026-02-26,10951.0,-2.12,3.97,hold_expiry,11188.0,2.37,61.6,0.71,5.91,4.22,8.05,2026-02
BAJAJHLDNG,2026-05-07,10597.0,2026-05-12,10067.15,-5.0,2.29,stop_loss,10597.0,1.92,63.8,0.76,5.6,6.91,7.72,2026-05
BAJAJHLDNG,2026-05-21,10402.0,2026-05-28,10556.0,1.48,5.09,hold_expiry,10402.0,4.04,53.9,0.86,5.79,1.39,5.97,2026-05
BAJAJHFL,2026-05-06,86.97,2026-05-13,85.22,-2.01,2.56,hold_expiry,86.97000122070312,6.48,42.9,0.72,2.54,2.94,10.7,2026-05
