date,symbol,action,score,price,pe_ratio,roe,debt_to_equity,reason,rank,sector,price_7d,price_30d,price_90d,return_7d,return_30d,return_90d,hybrid_fundamental_quality,hybrid_momentum_technical,hybrid_volume_strength,hybrid_multi_timeframe,hybrid_ml_signal,hybrid_risk_adjustment,score_v2,regime,hybrid_growth,hybrid_value,sleeve,fq_score,turbo_score_recomputed,picking_rank,active_oracle,exit_rule
2026-05-15 19:30:09.105729,UCOBANK,HOLD,53.18000000000001,25.19,11.3981905,8.631,0.0,🟡 HOLD,0,Financial Services,25.450000762939453,,,1.03,,,75.6,28.5,7.5,53.0,50.0,49.1,50.1,SIDEWAYS,51.2,86.4,CORE,,,,,
2026-05-15 19:30:09.108153,BANKINDIA,HOLD,52.18000000000001,142.26,6.283569,12.056,0.0,🟡 HOLD,0,Financial Services,143.86000061035156,,,1.12,,,73.9,34.9,3.3,64.0,50.0,53.4,48.1,SIDEWAYS,64.3,87.4,CORE,,,,,
2026-05-15 19:30:09.116706,SBIN,WEAK SELL,46.580000000000005,963.2,10.569516,15.477,0.0,🟠 WEAK SELL,0,Financial Services,961.7999877929688,,,-0.15,,,85.3,20.1,15.0,43.3,50.0,64.2,42.0,SIDEWAYS,50.0,80.8,CORE,,,,,
2026-05-18 10:19:07.868687,KAYNES,HOLD,72.63243747711182,3157.0,58.129257,9.568,19.168,[POLICY OVERRIDE] action=HOLD | raw=🟢 BUY (BEAR: MEDIUM),0,Technology,3299.0,,,4.5,,,50.8,18.7,70.9,50.0,50.0,13.7,74.1,BEAR,50.0,5.9,TACTICAL,,,,,
2026-05-18 10:19:07.870855,SAREGAMA,HOLD,67.75662498474121,400.8,37.353214,12.567,4.281,🟢 HOLD (BEAR: MARGINAL),0,Communication Services,396.04998779296875,,,-1.19,,,63.7,74.7,100.0,76.2,50.0,35.5,73.3,BEAR,73.7,12.7,TACTICAL,,,,,
2026-05-18 10:19:07.872914,PWL,HOLD,59.74459997558594,112.45,92.11776,-14.1613,67.044,🟡 HOLD,0,Consumer Defensive,112.02999877929688,,,-0.37,,,34.7,53.8,43.5,77.6,50.0,23.8,55.1,BEAR,41.9,0.0,TACTICAL,,,,,
2026-05-18 10:19:07.875016,PARADEEP,HOLD,54.21059997558594,117.65,12.267987,13.5345,101.822,🟡 HOLD,0,Basic Materials,127.63999938964844,,,8.49,,,61.4,22.2,0.0,54.4,50.0,24.6,46.1,BEAR,55.5,90.5,TACTICAL,,,,,
2026-05-18 10:19:07.876982,PGEL,SELL,49.59034423494578,454.35,46.409603,10.1759,20.346,🟠 WEAK SELL,0,Technology,466.95001220703125,,,2.77,,,53.3,19.2,9.7,46.5,50.0,22.6,49.5,BEAR,96.8,22.0,TACTICAL,,,,,
2026-05-18 10:19:07.881116,ZENSARTECH,HOLD,49.28259997558594,471.25,13.983679,16.4141,1.68,[POLICY OVERRIDE] action=HOLD | raw=🟠 WEAK SELL,0,Technology,487.75,,,3.5,,,83.0,19.1,5.5,52.0,50.0,31.8,48.5,BEAR,63.0,74.8,CORE,,,,,
2026-05-18 10:19:07.883055,ECLERX,SELL,48.68471113327036,1438.0,19.314978,23.4669,15.04,🟠 WEAK SELL,0,Technology,1567.300048828125,,,8.99,,,80.7,27.8,6.8,49.2,50.0,30.6,48.7,BEAR,82.4,37.4,TACTICAL,,,,,
