symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
YESBANK,Financial Services,2026-04-21,2026-05-07,16,6,20.0,22.018,12.11,0.14,0.14,STCG,2.37,9.46,7.8857,64.66,64.66,45.41,22.13,"MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 77 | ⚠️ Bearish divergence (price up, RSI down)",10.0
INDUSINDBK,Financial Services,2026-04-28,2026-05-07,9,1,891.0402,947.3017,56.26,1.06,0.98,STCG,10.84,43.38,4.8681,64.87,64.87,47.65,946.75,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 76 | 📉 Volume declining on rally,10.0
GMRAIRPORT,Industrials,2026-03-31,2026-05-08,38,4,86.9469,100.5593,54.45,0.46,0.42,STCG,10.71,42.85,12.3219,62.54,62.54,51.02,100.66,scale_out_20: profit 15.8% AND score dropped 11.5pts (peak 62.5 -> 51.0),10.0
YESBANK,Financial Services,2026-04-21,2026-05-08,17,2,20.0,22.4475,4.9,0.05,0.05,STCG,0.96,3.84,9.6018,64.66,64.66,45.41,22.51,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 77,10.0
GMRAIRPORT,Industrials,2026-03-31,2026-05-09,39,3,86.9469,98.901,35.86,0.35,0.31,STCG,7.04,28.16,10.7977,62.54,62.54,51.02,101.32,scale_out_20: profit 16.5% AND score dropped 11.5pts (peak 62.5 -> 51.0),10.0
YESBANK,Financial Services,2026-04-21,2026-05-09,18,2,20.0,22.5874,5.17,0.05,0.05,STCG,1.02,4.06,10.1608,64.66,64.66,45.41,22.94,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 86 (heavy exhaustion) | 📈 Strong rally: +15.1% in 5 days,10.0
MOTILALOFS,Financial Services,2026-04-21,2026-05-12,21,1,812.5617,854.145,41.58,0.96,0.89,STCG,7.95,31.79,3.9118,66.78,66.78,51.61,891.3,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
YESBANK,Financial Services,2026-04-21,2026-05-12,21,1,20.0,22.6473,2.65,0.02,0.02,STCG,0.52,2.08,10.4002,64.66,64.66,53.49,22.94,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 83 (heavy exhaustion),10.0
M&MFIN,Financial Services,2026-04-28,2026-05-12,14,8,319.5192,336.663,137.15,3.25,2.79,STCG,26.22,104.89,4.1033,68.17,68.17,53.1,339.1,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
HINDZINC,Basic Materials,2026-04-28,2026-05-12,14,2,629.629,646.353,33.45,1.33,1.34,STCG,6.16,24.62,1.9553,66.33,66.33,48.34,636.55,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
HINDZINC,Basic Materials,2026-04-28,2026-05-13,15,2,629.629,659.34,59.42,1.33,1.37,STCG,11.35,45.38,3.6037,66.33,66.33,48.34,641.9,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
HYUNDAI,Consumer Cyclical,2026-05-12,2026-05-14,2,1,1905.4035,1856.0421,-49.36,2.26,1.93,STCG,0.0,-53.55,-2.8104,65.1,65.1,65.1,1905.4035,"MOMENTUM EXHAUSTION: 🕯️ Upper wicks: 3 rejections | ⚠️ Bearish divergence (price up, RSI down)",10.0
KALYANKJIL,Consumer Cyclical,2026-05-12,2026-05-19,7,25,380.5802,347.2524,-833.19,12.06,9.0,STCG,0.0,-854.26,-8.9785,63.69,63.69,48.59,380.5802,hard_stop:HARD_STOP - HARD STOP: loss -9.1% <= -8% threshold,10.0
EXIDEIND,Consumer Cyclical,2026-05-05,2026-05-26,21,20,361.8615,346.9028,-299.17,8.59,7.2,STCG,0.0,-314.96,-4.352,64.55,64.55,40.64,364.45,rotation: EXIDEIND(40.6) -> NAUKRI(61.0),10.0
